 Services,First Name,Last Name,Agency,Title,Service Type,Population,Hours of operation,Street Address,Suite/Floor/Dept./Room,State,City,Zip,Phone,Email,Website,,
CM,Tina,Gonzalez,Mercy House,,"Motel vouchers and food vouchers (only one time per person, dependent on availability) Gift cards (verification of employment required) hygiene kits, diapers, laundry detergent, feminine hygiene products, bus passes (for those with medical appointments or proof of employment) assistance with DL, ID and/or birth certificates, telephone access, referrals of reemployment, shelter, food, and housing.",Homeless or at risk become homeless,"Mon-Fri 9am-2pm last client at 12:30 pm Homeless Served Mon, Wed, Thurs & Fri, families served 1st and 3rd Tues of every month.",905 E. Holt Blvd.,,CA,Ontario,91764,909.391.2630,,www.mercyhouse.net,confirmed,
SS,Tina,Gonzalez,Mercy House,,"Motel vouchers and food vouchers (only one time per person, dependent on availability) Gift cards (verification of employment required) hygiene kits, diapers, laundry detergent, feminine hygiene products, bus passes (for those with medical appointments or proof of employment) assistance with DL, ID and/or birth certificates, telephone access, referrals of reemployment, shelter, food, and housing.",Homeless or at risk become homeless,"Mon-Fri 9am-2pm last client at 12:30 pm Homeless Served Mon, Wed, Thurs & Fri, families served 1st and 3rd Tues of every month.",905 E. Holt Blvd.,,CA,Ontario,91764,909.391.2630,,www.mercyhouse.net,confirmed,
BH,,,Mercy House/Trinity House,,Transitional living shelter for single homeless men 18 and older. Participants must be employed or willing to find employment and have no history of violent or sexual crime.  This program provides one-on-one evaluation process to set goals.,,,2040 N. Garey Ave,,CA,Pomona,91767,909.593.4281,,,number didn't work,
CM,,,Mercy House/Trinity House,,Transitional living shelter for single homeless men 18 and older. Participants must be employed or willing to find employment and have no history of violent or sexual crime.  This program provides one-on-one evaluation process to set goals.,,,2040 N. Garey Ave,,CA,Pomona,91767,909.593.4281,,,number didn't work,
PSH,Aditi,Mahmud,Mercy Housing,Project Assistant,"Finance and operate affordable, 
program-enriched housing communities for families, seniors and people 
with special needs who lack the economic resources to access quality, 
safe housing opportunities.",Provide affordable housing for all low- and moderate-income populations.,Monday-Friday 9am-5pm,1500 S. Grand Ave.,STE 100,CA,Los Angeles,90015,213.743.5820 Michelle Nguyen,,www.mercyhousing.org,confirmed,
PSH,,,Mercy Housing California,,"Finance and operate affordable, 
program-enriched housing communities for families, seniors and people 
with special needs who lack the economic resources to access quality, 
safe housing opportunities.",Provide affordable housing for all low- and moderate-income populations,Mon-Fri 9am-5pm,2512 River Plaza Drive,200,CA,Sacramento,95833,916-414-4400/Maria Acuna-Feldman,,www.mercyhousing.org,,
PSH,,,Mercy Housing California,,"Finance and operate affordable, 
program-enriched housing communities for families, seniors and people 
with special needs who lack the economic resources to access quality, 
safe housing opportunities.",Provide affordable housing for all low- and moderate-income populations,Mon-Fri 9am-5pm,1360 Mission Street,300,CA,San Francisco,94103,415-355-7100/Kathy Hopeley,,www.mercyhousing.org,,
SS,,,MHSA Navigators,,"Specialist in providing information, resources and references",,Mon-Fri 9am-5pm,,,CA,,,888.436.3246,,,confirmed,
BH,Heather,Harris,Military Women in Need,Program Coordinator,Bridge to permanent housing and a safety net for those at risk of homelessness.,Homeless or at risk become homeless veterans,,2355 Westwood Blvd. ,#350,CA,Los Angeles,90064,310.684.3854,,www.militarywomeninneed.org,left message 10/9,
SS,,,Miraculous Care,,"Infant, Toddler, and Preschool Programs","Infants, Toddlers, and Preschoolers",,1750 W. Holt Ave.,,CA,Pomona,91768,909.629.6767,,www.miraculouscare.com,,
FB,,,Mt. Sinai Foundation,,Food and Clothing,,Every 3rd Saturday of the Month      12:00 p.m.-2:00 p.m.,936 West 9th St.,,CA,Pomona,91766,"909.868.9224 
909.395.6625",,www.mtsinaifoundation.org,confirmed,
HS,,,"Mission City Community Network, Inc. ",,"low cost Primary Care, Chronic Disease, Physical Examinations for vision, hearing and basic lab screening, immunization, STD Screening, free pregnancy testing, diabetic & hypertension and mental Health Services.",,,"1818 N. Orange Grove Ste 205 #  Also on Friday at: 2180 W Valley Blvd, Pomona, CA 91768",205,CA,Pomona,91768,(909) 525-9111 ,,,,
MHS,Charles,Lee,My First Place/BRIDGES Inc.,Program Director/Housing Manager,"Casitas Espiranas, Casitas Tranquilas","Homeless diagnosed with mental illness, singles 18-59.",,11927 Elliot Ave,,CA,Pomona,91732,626.200.7993,clee@bridgesrehab.org,www.bridgesinc.com,confirmed,
BH,Charles,Lee,My First Place/BRIDGES Inc.,Program Director/Housing Manager,"Casita sEspiranas, Casitas Tranquilas","Homeless diagnosed with mental illness, singles 18-59.",,11927 Elliot Ave,,CA,Pomona,91732,626.200.7993,clee@bridgesrehab.org,www.bridgesinc.com,confirmed,
EES,Amy,Atkins,NAMI(National Alliance on Mental Illness),Family Support Bureau,"grass roots, education, support and advocacy organization dedicated to improving the lives of families who have relatives with a brain disorder (mental illness).","Families and consumers diagnosed with a mental illness, relatives and friends, mental health professionals, and all who share NAMI’s vision and mission.",Call for more information,941 Westwood Blvd. ,Ste 236,CA,Los Angeles,90008,909.263.5456,,www.NAMI.org,confirmed,
MHS,Heidi,Bonadie,National Alliance on Mental Illness-Pomona Valley Affiliate,Executive Director,"The Pomona Valley affiliate of the NAMI is a nonprofit California corporation dedicated to improving the quality of life for people with mental illness and their families through support, education, and advocacy.",Individuals suffering from mental illness.,Mon-Fri 9am-2pm,462 N. Indian Hill Blvd.,STE. A,CA,Claremont,91711,"909.625.2383
24hour helpline
909.399.0305",namipv@verison.net,www.namipomonavalley.org,confirmed,
EES,Heidi,Bonadie,National Alliance on Mental Illness-Pomona Valley Affiliate,Executive Director,"The Pomona Valley affiliate of the NAMI is a nonprofit California corporation dedicated to improving the quality of life for people with mental illness and their families through support, education, and advocacy.",Individuals suffering from mental illness.,Mon-Fri 9am-2pm,462 N. Indian Hill Blvd.,STE. A,CA,Claremont,91711,"909.625.2383
24hour helpline
909.399.0305",namipv@verison.net,www.namipomonavalley.org,confirmed,
CDR,,,National Council on Alcoholism and Drug Dependence,,"Provides; alcohol and drug abuse information and referral, education and prevention, substance abuse testing, and court referral program.",,"(909) 629-4084 
 Mon. to Fri.: 9am to 6pm 
 Random Testing: 9am – 5:45pm Call for an and bring proof of income",656 N Park Ave. Pomona .CA 91768,,CA,Pomona,91767,,,,,
CDR,,,National Council on Alcoholism and Drug Dependence ,,,,,656 N Park Ave. Pomona .CA 91768,,CA,Pomona,91768,,,,,
CDR,,,National Council-Alcoholism and Drug Dependence,,"Provides parenting classes, family re-unification, drug testing, domestic violentce counseling, one-on-one counseling, and self-help meetings.",,,656 N. Park Ave Pomona CA 91767,,CA,Pomona,91767,(909) 629-4084,,,,
HCS,,,National Health Foundation,,Medical Respite for homeless,Medical Respite for homeless, Sun-Sat 8am- 7pm,13010 Valley Blvd ( Valley Inn),Suite 14,CA,La Puente,91746,Alex Martinez 213-785-1911,,,,
LS,,,Neighborhood Legal Services,,"Help is available at no cost to qualifying residents in the areas of Family Law, Immigration Law, Administrative (Public Benefits) Law, Housing Law, Employment Law, Health Law and Community and Consumer Law.","Low income families, Homeless individuals","Government Benefits 1st and 3rd Wed of the month 9:15am-11:45am. Employment, Housing and Consumer Help- M-Fri 9am-5pm. Immigration Help- Tues 1:30pm-4:30pm. Family Law- Tues and Th 9:15am-11:45am.",9354 Telstar Ave.,,CA,El Monte,91731,"800.433.6251. 
For Healthcare issues call 
The Health Consumer Center 
at 800.896.3203 
Mon &Thru 9am-11:45am",,www.nls-la.org,confirmed,
LS,,,Neighborhood Legal Services,,Free legal assistance for low-income persons living in Los Angeles County,Low-income community,"Call for an appointment: M, T, Fri 9:15am-11:45am",,,CA,Los Angeles,,800.433.6251,,,,
FB,,,New Beginnings,,Food Pantry,,Fri 5pm-7pm,13020 Francisquito Ave,,CA,Baldwin Park,91706,626.472.7144,,,,
FB,,,New Directions Community Church of God in Christ,,Boxes for groceries for the Thursday morning food program,,2nd Saturday of the month 11:00a.m. to 12:00 p.m.,1100 E .Holt Ave.,,CA,Pomona,91767,909.593.5000,,,confirmed,
ES,Anthony,Belcher,New Directions Veterans Opportunity Center,Program Supervisor,"Therapeutic community helps veterans with everything from substance abuse recovery to family reunification to benefit advocacy. Emergency shelter, detox center.",Veterans,Call for more information,11303 Wilshire Blvd ,BLGD 116,CA,Los Angeles,90025,"310.914.5966
 Operating 24/7",,www.newdirectionsinc.org,confirmed,
SS,Anthony,Belcher,New Directions Veterans Opportunity Center,Program Supervisor,"Therapeutic community helps veterans with everything from substance abuse recovery to family reunification to benefit advocacy. Emergency shelter, detox center.",Veterans,Call for more information,11303 Wilshire Blvd ,BLGD 116,CA,Los Angeles,90025,"310.914.5966
 Operating 24/7",,www.newdirectionsinc.org,confirmed,
FB,,,New Harvest Community Church/Helping Hands Caring Hearts Ministry,,Food and Clothing,,Sunday Dinner @ 3:45 Pantry 3:30pm-5:30pm,480 W. Monterey St.,,CA,Pomona,91768,909.623.8646,,,,
CA,,,New Harvest Community Church/Helping Hands Caring Hearts Ministry,,Food and Clothing,,Sunday Dinner @ 3:45 Pantry 3:30pm-5:30pm,480 W. Monterey St.,,CA,Pomona,91768,909.623.8646,,,,
FB,,,New Life Community Church,,Food Distribution,,Fridays 5:00-6:30 p.m.,275 E. Foothill Blvd.,,CA,Pomona,91767,909.620.8137,,www.newlifepomona.com,confirmed,
SS,Rodney,Heinrich,New Song Church,Pastor of Homeless Ministry,,,,945 W. Covina Blvd.,,CA,San Dimas,91773,909.394.9488,,www.newsongsd.org,left message 10/3,
SS,Marilyn,Munoz,"Options -A Child Care and Human Services Agency
Division:
Child Development Centers",Family Service Specialist,"Child care for pre-school age children with working parents, assistance for parents to find work.",Parents who work or are looking for work.,Monday-Friday  9:00a.m. to 5:p.m.,885 S. Village Oaks Dr.,Suite #12,CA,Covina,91724,626.858.0527,mamunoz@optionscc.org,www.optionscc.org,confirmed,
EES,Marilyn,Munoz,"Options -A Child Care and Human Services Agency
Division:
Child Development Centers",Family Service Specialist,"Child care for pre-school age children with working parents, assistance for parents to find work.",Parents who work or are looking for work.,Monday-Friday  9:00a.m. to 5:p.m.,885 S. Village Oaks Dr.,Suite #12,CA,Covina,91724,626.858.0527,mamunoz@optionscc.org,www.optionscc.org,confirmed,
CM,,,Options for Learning Head Start Pasadena,,A federally funded half-day preschool program for 3 & 4 year old children at our centers,low income,M-F/9am-5pm,464 W. Woodbury,suite 210,CA,Altadena,91001,626-204-8900,,optionsforlearning.org,,
FB,,,Our Savior Center,,Food Bank,"Low income Families, Individuals, & Seniors.",           Tues & Thurs. 10am-1pm                                                               ,4368 Santa Anita Ave,,CA,El Monte,91731,626.579.2190 X127 Diane Williams,,www.our-center.org,confirmed,
Motel Voucher,,,Our Savior Center,,Motel Voucher Program/Families Only,low income families only,Mon-Thurs/8:30am-4:30pm,4368 Santa Anita Ave,,CA,El Monte,91731,Diane Williams 626-579-2190 X127,,www.our-center.org,,
Kids Campus,,,Our Savior Center/Kids Campus Youth Center,,Youth after school program,Youth,School Days 12pm-6pm,4316 Peck Rd.,,CA,El Monte,91732,626-329-0860 Marguerite Ponce,,www.KCYCenter.org,,
HIV/AIDS SVCS,,,"One Care Home Health and Hospice 
 ",,"Hospice provides comfort care for terminally ill patients. Hospice caregivers can help with the patient’s daily activities and medical needs. Also help the patient and family deal with the psychological and spiritual needs when facing the end of life. Hospice care can be received at home or in a facility. Services include nursing, social work, etc.",,"(909) 784-3600 
 Mon. to Fri.: 8:30am -5:30 pm",3350 Shelby St. Ontario ca 91764,,,,,,,,,
MHS,Michael,Van Essen,Pacific Clinics,Director of Benefits Establishment,"Providing leading-edge behavioral health-care services across the life-span to diverse populations in Los Angeles, Orange, Riverside, San Bernardino and Ventura counties.",,,800 S. Santa Anita Ave.,,CA,Arcadia,91006,626.471.6506,mvanessen@pacificclinics.org,http://www.pacificclinics.org/,left message 10/9,
MHS,,,Pacific Clinics,,Mental Health Services,"Adults, OA",M-F/8am-5pm,3881 S Western Ave,,CA,Los Angeles,90062,877-722-2737,,www.pacificclinics.org,,
MHS,,,Pacific Clinics,,Mental Health Services,"Adults, OA",M-F/8am-5pm,2500 Wilshire Ave,,CA,Los Angeles,90057,877-722-2737,,www.pacificclinics.org,,
MHS,,,Pacific Clinics,,Mental Health Services,"Children, TAY, Adults",M-F/8am-5pm,902 S Myrtle,,CA,Monrovia,91016,877-722-2737,,www.pacificclinics.org,,
MHS,,,Pacific Clinics,,Mental Health Services,"Children, TAY, Adults, OA",M-F/8am-5pm,66 Hurlbut,,CA,Pasadena,91105,877-722-2737,,www.pacificclinics.org,,
MHS,,,Pacific Clinics,,Mental Health Services,"Children, TAY, Adults, OA",M-F/8am-5pm,1460 N Lake ,Suite 1,CA,Pasadena,91104,877-722-2737,,www.pacificclinics.org,,
MHS,,,Pacific Clinics,,Mental Health Services,"Children, Tay",M-F/8am-5pm,790 E Bonita,,CA,Pomona,91762,877-722-2737,,www.pacificclinics.org,,
MHS,,,Pacific Clinics,,Mental Health Services,"Children, TAY, Adults, OA",M-F/8am-5pm,9353 E Valley Blvd,,CA,Rosemead,91770,877-722-2737,,www.pacificclinics.org,,
MHS,,,Pacific Clinics,,Mental Health Services,Adults,M-F/8am-5pm,11721 Telegraph Road,,CA,Sante Fe Springs,90670,877-722-2737,,www.pacificclinics.org,,
MHS,,,Pacific Clinics,,Mental Health Services,"Children, TAY",M-F/8am-5pm,11731 Telegraph Road,Suite G,CA,Santa Fe Springs,90670,877-722-2737,,www.pacificclinics.org,,
MHS,,,"Pacific Clinics
",,Mental Health Services,"Children, TAY",M-F/8am-5pm,1160 S Grand,,CA,Glendora,91740,877-722-2737,,www.pacificclinics.org,,
BH,Jeremy,Stear,"Pacific Clinics
Irwindale TAY Hope Center Drop-In",Mental Health Worker,"FSP services, drop in center, peer engagement project, healthy transitions program.",Individuals 16-25 suffering from mental illness.,"MW 9-5, TuTh 9-8, F 11-5",13001 Ramona Blvd. ,Ste. 1,CA,Irwindale,91706,626.337.3828,,www.pacificclinics.org,confirmed,
EES,,,Pacific Clinics Quality Assurance Board (QAB),,"Providing clients at treatment sites a way to unite for self-empowerment, growth, leadership and service to the mental health community in general, and to ensure quality services for themselves and others at Pacific Clinics.",Clients of Pacific Clinics,, 2550 E. Foothill Blvd ,STE 112,CA,Pasadena,91107,"626.463.1021 
ext. 133",,www.pacificclinics.org,,
MHS,,,Pacific Clinics Quality Assurance Board (QAB),,"Providing clients at treatment sites a way to unite for self-empowerment, growth, leadership and service to the mental health community in general, and to ensure quality services for themselves and others at Pacific Clinics.",Clients of Pacific Clinics,, 2550 E. Foothill Blvd ,STE 112,CA,Pasadena,91107,"626.463.1021 
ext. 133",,www.pacificclinics.org,,
